depth,min_leafs,data_group,test_acc,test_acc_std,test_f1,test_f1_std
2.0,2.0,late,0.5839168999227393,0.2116174621477832,0.5839168999227393,0.2116174621477832
2.0,8.0,late,0.5817868715530924,0.2051878102477961,0.5817868715530924,0.2051878102477961
2.0,32.0,late,0.5763242413316086,0.194665042818923,0.5763242413316086,0.194665042818923
2.0,128.0,late,0.585802772101047,0.20175314575051811,0.585802772101047,0.20175314575051811
2.0,256.0,late,0.5903115947077339,0.2204703558668445,0.5903115947077339,0.2204703558668445
3.0,2.0,late,0.6183317716626058,0.2064032958121587,0.6183317716626058,0.2064032958121587
3.0,8.0,late,0.6166366639908667,0.18356403097792412,0.6166366639908667,0.18356403097792412
3.0,32.0,late,0.6136072564953543,0.20620080918022354,0.6136072564953543,0.20620080918022354
3.0,128.0,late,0.5989394090156612,0.20747395028876,0.5989394090156612,0.20747395028876
3.0,256.0,late,0.6067801472440925,0.22677478152452527,0.6067801472440925,0.22677478152452527
5.0,2.0,late,0.6814211332910953,0.16707953890802948,0.6814211332910953,0.16707953890802948
5.0,8.0,late,0.6660715311329912,0.17068149509503538,0.6660715311329912,0.17068149509503538
5.0,32.0,late,0.6841820458040686,0.1752872179539038,0.6841820458040686,0.1752872179539038
5.0,128.0,late,0.6688042410809855,0.180387759227451,0.6688042410809855,0.180387759227451
5.0,256.0,late,0.6557773711450092,0.19387419679878193,0.6557773711450092,0.19387419679878193
7.0,2.0,late,0.7580329199493204,0.1310659010347461,0.7580329199493204,0.1310659010347461
7.0,8.0,late,0.7582790900767996,0.1354500626081851,0.7582790900767996,0.1354500626081851
7.0,32.0,late,0.7550567176630106,0.13554931919790783,0.7550567176630106,0.13554931919790783
7.0,128.0,late,0.7272809132111377,0.15687868840055674,0.7272809132111377,0.15687868840055674
7.0,256.0,late,0.6948320608489172,0.177090174495882,0.6948320608489172,0.177090174495882
10.0,2.0,late,0.8593079429193811,0.08807651612566317,0.8593079429193811,0.08807651612566317
10.0,8.0,late,0.8516321535198157,0.10449409555014762,0.8516321535198157,0.10449409555014762
10.0,32.0,late,0.8269148169160492,0.11942701677179682,0.8269148169160492,0.11942701677179682
10.0,128.0,late,0.792391297050956,0.13833713230905512,0.792391297050956,0.13833713230905512
10.0,256.0,late,0.7330973547172575,0.16174328659588727,0.7330973547172575,0.16174328659588727
2.0,2.0,early,0.5412027017773807,0.23956721710078305,0.5412027017773807,0.23956721710078305
2.0,8.0,early,0.5688976877178689,0.23646239002366934,0.5688976877178689,0.23646239002366934
2.0,32.0,early,0.5681312283772255,0.22538765463358296,0.5681312283772255,0.22538765463358296
2.0,128.0,early,0.5532194410178523,0.21484423550951137,0.5532194410178523,0.21484423550951137
2.0,256.0,early,0.580313960709747,0.22384213951201767,0.580313960709747,0.22384213951201767
3.0,2.0,early,0.6016986059534041,0.20963075179602975,0.6016986059534041,0.20963075179602975
3.0,8.0,early,0.5758594099525144,0.21004089398915643,0.5758594099525144,0.21004089398915643
3.0,32.0,early,0.5891353590348383,0.2342972814861251,0.5891353590348383,0.2342972814861251
3.0,128.0,early,0.5791107905057382,0.2223545405592896,0.5791107905057382,0.2223545405592896
3.0,256.0,early,0.5924409965194707,0.22360572845150956,0.5924409965194707,0.22360572845150956
5.0,2.0,early,0.6534547582672452,0.1902752693066903,0.6534547582672452,0.1902752693066903
5.0,8.0,early,0.6635877809869808,0.19137565157338465,0.6635877809869808,0.19137565157338465
5.0,32.0,early,0.6478552997326239,0.19382292682259425,0.6478552997326239,0.19382292682259425
5.0,128.0,early,0.649359456422226,0.19441219656094322,0.649359456422226,0.19441219656094322
5.0,256.0,early,0.6400182238843577,0.208090673152814,0.6400182238843577,0.208090673152814
7.0,2.0,early,0.7534174407764782,0.14234612963487842,0.7534174407764782,0.14234612963487842
7.0,8.0,early,0.7446776441601596,0.14325212972809023,0.7446776441601596,0.14325212972809023
7.0,32.0,early,0.7296282005361248,0.15666480040957234,0.7296282005361248,0.15666480040957234
7.0,128.0,early,0.7073139149113473,0.17278334352781582,0.7073139149113473,0.17278334352781582
7.0,256.0,early,0.6910089834978073,0.1771921891528694,0.6910089834978073,0.1771921891528694
10.0,2.0,early,0.8481635363883203,0.08748659136460267,0.8481635363883203,0.08748659136460267
10.0,8.0,early,0.8414720918426486,0.10745378870792821,0.8414720918426486,0.10745378870792821
10.0,32.0,early,0.8257939868640642,0.12523477215236808,0.8257939868640642,0.12523477215236808
10.0,128.0,early,0.7818770884331295,0.14604599307859623,0.7818770884331295,0.14604599307859623
10.0,256.0,early,0.732224179138277,0.1662124484067912,0.732224179138277,0.1662124484067912
